sku,nombre_producto,n_puntos,beta,alpha,r2
104534090,VINAGRE DE MANZANA HERNANDEZ PLAZA 5 l,71.0,64.48423986897016,-452.27168809774895,0.19257947089168082
104534100,AZUCAR RUBIA IANSA 500 g,80.0,-0.09487939315147996,3.802692067236071,0.00024620048358476833
104534120,SESAMO NEGRO ALMIFRUT 1 kg,40.0,-7.646905279663824,68.19428956161174,0.17928085487096063
104534130,ACEITE SESAMO MAYAMOTO 500 ml,59.0,7.059473728902765,-62.05418828266688,0.027039910671601528
104534140,ALGA MARINA NORI BLUE MAYAMO 100u 280 gr,27.0,5.41069229578007,-55.00974861548125,0.04118343068178195
104534160,SALSA SRIRACHA CHILI HENS BOTELLA 793gr,44.0,-15.160230861731549,127.77480506270597,0.07207968538975122
104534170,SHICHIMI TOGARASHI MAYAMOTO 300 gr,5.0,0.0,0.0,
104534190,HAMBURGUESA PREMIUM 110 GRS,53.0,-0.9247876203988838,11.08001480880034,0.2582775197721597
104534210,GALLETA MINI MANTEQUILLA COSTA 35g,38.0,7.529564532930956,-60.855148093560224,0.12425143502719146
104534220,JAMON SERRANO LAMINADO 500 g,101.0,1.0083670263158102,-6.767199105714938,0.023364428356508055
104534250,TOALLA CLASSIC 1 HOJA 250 M,63.0,0.9603436279476923,-4.843510812863085,0.019883272129349493
104534270,"MAYONESA KRAFT REAL MAYO 1,26 kg",90.0,-0.6295862538879514,8.19714021129043,0.0004246465570694116
104534280,ACETO BALSAMICO C/VALVULA 5 l,17.0,-10.068877550406286,85.61428351699931,0.04911645889442662
104534300,REINETA FILETE S/PIEL 100-400GR NAC. IQF,61.0,6.099904976077225,-51.18872722444655,0.1485752956361416
104534340,YOGHURT DAMASCO BOLSA 1 KG LOS ALERCES,42.0,4.6349801810133275,-30.283820750508607,0.13617334894493366
104534350,YOGHURT FRUTILLA BOLSA 1 KG LOS ALERCES,59.0,3.791009526748341,-23.83930676285037,0.10865615497280688
104534360,YOGHURT VAINILLA BOLSA 1 KG LOS ALERCES,42.0,8.968325598018044,-60.787391250347156,0.3265872570954964
104534370,LECHE DESCREMADA S/LACTOSA SURLAT 1 lt,71.0,3.570497023860549,-22.24361662667775,0.05291606464499864
104534380,CAFETERA MOKKA CARMENCITA LAVAZZA,2.0,,,
104534410,EMPANADA CAM/QUESO 35 gr 100 uds SAMOSA,23.0,-21.17499078645634,200.4650205941262,0.1305026004144822
104534420,EMPANADA CHAMP/QUESO 35 g 100 uds SAMOSA,26.0,-6.644752531299908,63.63455372853248,0.34437699499209473
104534430,EMPANADA MECH/QUESO 35 gr 100 uds SAMOSA,26.0,-5.567215284989893,54.29288508807379,0.12808645634348786
104534440,GYOZAS CAMARON 28 gr 180 uds SAMOSA,30.0,0.11693031706352393,1.2090890813245598,0.00016966416832305824
104534450,GYOZAS CERDO 28 gr 180 uds SAMOSA,35.0,-1.2786999282432865,13.424536665902016,0.006950854940695907
104534460,GYOZAS POLLO 28 gr 180 uds SAMOSA,37.0,-1.7789490023826733,17.077616883938784,0.02634431220068681
104534470,GYOZAS VERDURAS  28 gr 180 uds SAMOSA,36.0,-3.188211566999885,29.276073619823176,0.053335136781149955
104534480,GALLETA MINI COCADITA COSTA 35 g,44.0,5.360890592667284,-43.51071520649398,0.033002417638222904
104534490,GALLETA MINI DULCITAS COSTA 35 g,44.0,9.712352031399325,-80.37321791464872,0.3133679367074462
104534500,PEPPERONI ULTRADELGADO SUGARDALE 1 kg,95.0,-0.6385014667316237,8.826418089877224,0.0007880813670959596
104534520,KIT DE LIMPIEZA LA SPAZIALE,24.0,-0.6544067073514641,7.942665905781498,0.016954980067713253
104534530,PECHUGA PAVO DESHUESADO 15 KG,34.0,-1.761517876352819,19.951618744498585,0.10127701609166523
104534540,MAYONESA CAROZZI 1 kg,63.0,-2.4865872449674176,22.991408876653974,0.013108301408241149
104534560,BOLSA BASURA BIO 50X70 VIRUTEX 10 uds.,37.0,3.8391189809117483,-29.949391891970688,0.0641298070817322
104534570,BOLSA BASURA BIO 70X90 VIRUTEX 10 uds.,45.0,3.840754626708532,-28.20710437153041,0.03746165606507619
104534580,BOLSA BASURA BIO 80X120 VIRUTEX 10 uds.,55.0,7.155006627844818,-52.71079808858011,0.0670602415974685
104534590,BOLSA BASURA BIO 100X120 VIRUTEX 5 uds.,41.0,12.042070325287119,-91.45661634314953,0.36999524144303897
104534600,MEDIALUNA PLUS 40 gr PAGNIFIQUE 120 uds.,37.0,-0.5620739018171569,7.343787776964662,0.01642777708002877
104534620,TOCINO LAMINADO SUGARDALE 1 kg,101.0,3.8777490217523694,-32.53464438337991,0.04350331358908516
104534640,"ABLANDADOR DE CARNE 1,01 kg",21.0,4.361931290281851,-35.585996258694436,0.2241684034565337
104534660,AZUCAR G2 DAMA BLANCA 1 kg,72.0,8.180155403694906,-56.1729390911894,0.13146303644376006
104534670,REINETA FILETE 100-400g IQF,3.0,-0.6384869853593597,8.363365871916827,0.9153091526522212
104534690,CHAMPIÑON LAMINADO ZANAFOODS 400 g,94.0,-1.9211397414898643,18.71844070223025,0.07635110446715966
104534700,NOT MANJAR FS 1 kg,3.0,-63.63315482925707,546.8731469065199,0.9423076923076921
104534710,DISPENSADOR DE SALSAS 4 l,5.0,-0.1129928613415573,1.9897490090062266,0.7256853128597518
104534720,SUCEDANEO JUGO LIMON HERNANDEZ PLAZA 5 l,56.0,7.940148245978659,-50.26989188798168,0.49755554063876234
104534740,TORTA CHOCOTELLA 15P CONGELADA,17.0,-1.1914383610969663,11.92477274886704,0.09818103948845414
104534790,"QUESO CREMA HAHN´S 1,36 kg",99.0,-0.49357931774970204,8.984644802210415,0.0020280992110720104
104534800,LECHE CONDENSADA LECHE SUR 397 g,60.0,10.170249352619097,-80.2817297415719,0.3721254649005397
104534810,GALLETA AGUA COSTA 175 g,37.0,3.4308585876355866,-26.65970748946649,0.14625171924489752
104534820,KETCHUP BOLSA HEINZ 3 kg,93.0,2.306203903124215,-13.706801671877356,0.0026981486182863232
104534870,COLORANTES ROJO AMARILLO AZUL 75 cc,3.0,-5.614157169755527,56.566798479200585,0.9999999999999998
104534880,"POLLO ENTERO 1,6 BRASIL CJ 12,8 KG",20.0,7.947603199615005,-58.03497346724552,0.34233876958777976
104534890,ATUN STEAK 170-220g CJ 5 KG IMPORTADO,3.0,-3.321928094887379,30.59276485497607,0.7862518054383697
104534900,SALSA FRAMBUESA S/SEMILLAS MACROFOOD 1LT,17.0,9.369431554807111,-71.8939425072961,0.16960663035742052
104534910,MAQUINA CAFE CAPS 4300 LAVAZZA,3.0,-3.4043558058788375e-15,3.850147601710094,0.0
104534940,"PULPO DEL NORTE 1-1,5KG BOLSA CONG",26.0,4.636667017650309,-38.96888826384128,0.2482514303436465
104534950,"PULPO DEL NORTE 1,5-2KG BOLSA CONG",4.0,-5.236332315794608,49.17873375950799,0.7262714529622274
104534960,PULPO DEL NORTE 2KG UP BOLSA CONG,2.0,-9.556654028256155,86.97418969767935,1.0
104534970,JABON MULTIFLEX ESPUMA ELITE 1 L,18.0,-0.33977239418699423,5.371175939718028,0.0358527052573
104534980,QUESO BURRATA GRANAROLO 250 GR,61.0,2.378346808606605,-21.382218343885338,0.03462292177858909
104534990,QUESO FETA ROUSSAS GRANAROLO 200 GR,69.0,0.8881793575889546,-7.226163796603021,0.0020860024094666507
104535010,QUESO ITALIAN BLUE GRANAROLO 150 GR,39.0,9.161750913193066,-88.85677684592706,0.15181629608554584
104535020,QUESO MASCARPONE GRANAROLO 500 GR,48.0,7.955220210095199,-71.76618702416162,0.09477153167783878
104535030,QUESO MOZZARELLA BOCCONCINI MINI 2 KG,21.0,14.08457642872011,-126.92792346834379,0.19096357685821508
104535040,QUESO MOZZARELLA BUFALA GRANAROLO 125 GR,43.0,-15.498561451428381,153.11114912615187,0.05984355790866051
104535050,QUESO MOZZARELLA CILIEGINE BUFALA 125 GR,62.0,-8.573678713800282,85.87047493175976,0.06006362745658336
104535060,QUESO MOZZARELLA CRUMBLE IQF 2 KG,26.0,2.344066450619327,-19.633576760366036,0.007816983801865015
104535070,QUESO MOZZARELLA FDL GRANAROLO 125 GR,48.0,-5.078504872419416,50.49411241634941,0.02110383341023792
104535080,QUESO PECORINO ROMANO DOP GRANAROLO 150G,47.0,1.182777231301235,-10.606991968779816,0.0028221680320897943
104535090,QUESO PROVOLONE GRANAROLO 5 KG,45.0,3.643707963447298,-31.786166696320393,0.13710985964276856
104535100,QUESO QUATTROCENTO GRANAROLO 1 KG,50.0,3.1973084731134906,-29.078956267981287,0.01915887171897947
104535110,QUESO RICOTTA IQF GRANAROLO 2 KG,55.0,4.761582767098837,-40.52840257289274,0.05282222227325496
104535120,ARROZ G2 LOS GRANOS 1 kg,91.0,0.6244521347371438,-0.06593298349167695,0.0016290858500331853
104535130,ARVEJAS PARTIDAS LOS GRANOS 1kg,35.0,8.789400153793865,-61.75833647932901,0.320165685985635
104535140,GARBANZO ENTERO S/PIEL LOS GRANOS 1 kg,82.0,8.791746047621837,-63.946818873252006,0.06334569652232405
104535150,LENTEJAS 6 MM LOS GRANOS 1 kg,96.0,5.637438516341558,-39.93893424439765,0.016355123517723995
104535160,POROTOS HALLADOS LOS GRANOS 1 kg,68.0,4.570030406438735,-33.07385974648201,0.034891048608705864
104535170,POROTOS BLANCOS LOS GRANOS 1 kg,47.0,-2.1708706237377187,20.76079366150322,0.0067225203518271525
104535180,POROTOS NEGROS LOS GRANOS 1 kg,83.0,5.854228043059302,-41.46089774973021,0.03631581073327859
104535190,POROTOS TORTOLA LOS GRANOS 1 kg,65.0,6.522290774354442,-49.343475904123544,0.12817774794936548
104535200,CHOCLITOS COCKTAIL ZANAFOODS 425 g,85.0,-8.7377112011334,72.80164206001572,0.1074427573576164
104535210,MERMELADA MINI DAMASCO RELKON 20 g,34.0,0.2956023790619346,0.7004007909411082,0.004730390243568951
104535220,MERMELADA MINI DURAZNO RELKON 20 g,21.0,4.2961460765982595,-31.023416943575874,0.017410905693989367
104535230,MERMELADA MINI FRUTILLA LIGHT RELKON 20g,13.0,36.26534702819718,-298.69587653059625,0.7832143822370666
104535240,MERMELADA MINI FRUTILLA RELKON 20 g,26.0,-6.237874542087254,52.30635519920912,0.06812449858234099
